ID,testlogloss,trainlogloss,eta,nrounds,num_parallel_tree,max_depth,max_delta_step,colsample_bynode,colsample_bylevel,colsample_bytree,subsample,grow_policy,tree_method,booster,alpha,lambda,objective,with_pca,with_important_only,drop_ctl,DirectoryPath,c_pca_thresh
116,0.0196070113219136,0.00142166820563212,0.05,500,10,4,3,0.5,0.7,0.5,0.7,depthwise,hist,gbtree,,,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.8
117,0.0168685849459672,0.0121774752259531,0.05,200,10,2,3,0.5,0.7,0.5,0.7,depthwise,hist,gbtree,,,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.8
118,0.0202072305285291,0.00207628804935356,0.01,3000,1,3,3,0.5,0.7,1.0,0.7,depthwise,hist,gbtree,,,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.8
119,0.0204815455073537,0.00076683940393351,0.05,500,10,5,3,0.5,0.7,0.5,0.7,lossguide,hist,gbtree,,,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.8
120,0.0170385656122676,0.00738135726953451,0.1,200,10,2,3,0.5,0.7,0.5,0.7,depthwise,hist,gbtree,,,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.8
121,0.0204685025484361,0.000767285465230251,0.05,500,10,5,3,0.5,0.7,0.5,0.7,depthwise,hist,gbtree,,,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.8
122,0.021339186471038,0.000875555610376316,0.01,3000,1,4,3,0.5,0.7,1.0,0.7,lossguide,hist,gbtree,,,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.8
123,0.0210968926767206,0.000535341300951573,0.05,500,10,6,3,0.5,0.7,0.5,0.7,lossguide,hist,gbtree,,,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.8
124,0.0167865647815899,0.00880169635685424,0.05,200,10,3,3,0.5,0.7,0.5,0.7,lossguide,hist,gbtree,,,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.8
125,0.0213400670859466,0.000876718258104955,0.01,3000,1,4,3,0.5,0.7,1.0,0.7,depthwise,hist,gbtree,,,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.8
126,0.0210991704714032,0.00053580403021478,0.05,500,10,6,3,0.5,0.7,0.5,0.7,depthwise,hist,gbtree,,,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.8
127,0.0177025139001862,0.00396720262064911,0.1,200,10,3,3,0.5,0.7,0.5,0.7,lossguide,hist,gbtree,,,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.8
128,0.016779624528538,0.00880029836689021,0.05,200,10,3,3,0.5,0.7,0.5,0.7,depthwise,hist,gbtree,,,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.8
129,0.0177167053088488,0.00397162122213726,0.1,200,10,3,3,0.5,0.7,0.5,0.7,depthwise,hist,gbtree,,,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.8
130,0.0169151450055522,0.00611634456004294,0.05,200,10,4,3,0.5,0.7,0.5,0.7,lossguide,hist,gbtree,,,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.8
131,0.0185002296000751,0.00209457604399875,0.1,200,10,4,3,0.5,0.7,0.5,0.7,lossguide,hist,gbtree,,,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.8
132,0.0169163996449338,0.00612229284907554,0.05,200,10,4,3,0.5,0.7,0.5,0.7,depthwise,hist,gbtree,,,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.8
133,0.0188223166393739,0.0189759090245081,0.1,50,40,1,5,0.5,0.7,0.5,0.4,lossguide,hist,gbtree,,,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.8
134,0.194156832157368,0.193843050225142,0.01,100,30,1,5,0.5,0.7,0.5,0.4,lossguide,hist,gbtree,,,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.8
135,0.0184970280807,0.00209622721640035,0.1,200,10,4,3,0.5,0.7,0.5,0.7,depthwise,hist,gbtree,,,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.8
136,0.0188237659114635,0.0189769293629409,0.1,50,40,1,5,0.5,0.7,0.5,0.4,depthwise,hist,gbtree,,,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.8
137,0.0173374859463497,0.0158613629003318,0.03,300,10,1,5,0.5,0.7,0.5,0.4,lossguide,hist,gbtree,,,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.8
138,0.194156585931252,0.193842443859201,0.01,100,30,1,5,0.5,0.7,0.5,0.4,depthwise,hist,gbtree,,,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.8
